,text,task_1
50,"স্যার কিছুক্ষণ আগে ব্রেকিং নিউজ পেলাম আপনি হার্ডএটেক করে মৃত্যুবরণ করেছেন.."" আর আপনার লাশ দেখতে গিয়েছেন আমাগো অশিক্ষামন্ত্রী🖕  আর এখন দেখি আপনি জিন্দা আছেন এখনো,,,, কেমনে কি স্যার?🤗",NOT
51,আপনারা জানেন না। এই মেয়েটা আসলে ও পতিতা। শুধু পতিতা না। এক নাম্বার খানকি।টাকার জন্য সব করতে পারে।আমি তাকে চিনি,HOF
52,আগে তোমার পুটকি খুলছে নি? 😆 বাঞ্চদ,HOF
53,ভারত জিতবে,NOT
54,তোর জীবনে মেয়ে চুদলিরে সাকিব,HOF
55,হারামজাদা ছি??,HOF
56,কাদেরের সাথে পাকিস্তানের চোদা খাওয়াটার কোন তুলোনা হয়না আর রুবিতো একটা সামা বিক্রী করা মেয়ে।,HOF
57,ছাগল,NOT
58,আর ঐ বান্দরের মতো চুল ওর নাম কি রে লটির বাচ্চা,NOT
59,তোর বোনেরি চুদি,HOF
60,"হায়রে বাংলাদেশের মুভি,,এই ধরনের মুভি আর হবে কি বুঝতে পারিনা,, আমি জসিম ভাইয়ের মুভি খুবই পছন্দ করি,, তার মুভির তোলনা হয়না। আমি সৌদি থাকি। 00966533485366 lmo",NOT
61,"স্যার, যতদিন আমরা আর আপনার জন্য আমাদের অন্তরে এই অসীম ভালোবাসা আছে ততদিন পর্যন্ত মহান রব আমাদের এতোগুলো মানুষকে কষ্ট দিয়ে আপনাকে নিয়ে যাবেনা! আমরা আমাদের পরম ভালোবাসায় আপনাকে আগলে রাখব স্যার!! ❤❤",NOT
62,মিন্নীর নয়নের সাথে গোপনে বিয়ে হয়েছে সরকারি কাজী এ বিয়ে সম্পন্ন করেন। এই শালী পরকিয়া প্রেমে জড়িত ছিলে। এই সব খারাপ মেয়ে দের কারণে এরকম ঘটনা ঘটে থাকে। এই শালীকে রিমান্ডে নেওয়া হোক,HOF
63,অনেক ভালো আলোচনা,NOT
64,যারা যারা এই সপ্ন খানকির ছেলে ভক্ত আছস তরা তোদের আম্মুকে চুদস বেইশ্যা পুলা। এই বেয়াদবের চ্যানেল কর। সে একটা বেইশ্যার ছেলে। রিপোর্ট করেন আপনারা এই চ্যানেলে যদি আপনার মা বাবা চরিত্রবান সৎ হয়ে থাকে।,HOF
65,খানকির পলাগো কুততায় পন্দায়া জরমো দিছে,HOF
66,এই চ্যানেলটাই তো সরকার আর নাস্তিকদের দালাল! সুতরাং এরা তো ইসলামকে খাটো করার চেষ্টা করবেই! কিন্তু আফসোস এরা সবাই জ্ঞানি মূর্খ!,NOT
67,আমি ত ভুলে গেছিলাম,NOT
68,লুইচ্চা বেডা তুই,HOF
69,মাদারচোদেরা খালি ভিডিওই বানাইতে পারো গিয়া বাঁচাইতে পারো না থু মুখে থু তরা মুসলমান নামে কলঙ্ক এক ভাইরে চোখের সামনে হত্যা করে আরেক ভাই ভিডিও বানায় থু তগো মুখে থু,HOF
70,যে অন্য লোকের গিবত গায় সে কোনো দিন ভালো হতে পারে না,NOT
71,😭😭😭😭 বিশ্বাস করেন অনকে কেঁদে ছি সাকিব ভাইয়ে জন্য😭🙏। সালা পাপন তুই বুঝবি এবার 😡😡😡😡😡,HOF
72,চালা ভড,HOF
73,চোর চুরি করে ধরা খেলে তাকেতো শাস্তি পেতেই হয় !! খালেদাজিয়া ও তারেক কোকো মা ও ছেলে সকলে দেশটাকে ধ্বংস করে বড় বড় কথা বলে তারা নাকি চোর না !!!,NOT
74,বাংলাদেশের খেলা জীবনেও দেখি না হালার বলদ গুলো খেলে,HOF
75,বাবরি মসজিদ ছিল থাকবে,NOT
76,লুচ্চা ফাহিম কি করে এখানে ওরে লাথি মাইরা বার করো,HOF
77,চুদদা মাইরালা মাগিরে ।,HOF
78,লেখাটি অনেক সুন্দর হয়েছে,NOT
79,শালী মিন্নিরে ধর😡😠,HOF
80,ধর্মকে বুড়া আঙুল দেখিয়ে বিয়ে করছেন মিথিলা। কিন্তু ইসলাম ছাড়া মুক্তি নেই অচিরেই আল্লাহ বুঝিয়ে দিবেন।,NOT
81,আর ডিসি হল খানকির পোলা লুচ্চা,HOF
82,এই পতিতার মুভি কে দেখবে,HOF
83,সালাহ উদ্দিন চৌধুরী একজন ভালো ব্যক্তি ছিলেন এখন যারা তার বিরোধি আসলে তারা রাজাকারের চোদায় জন্ম মাদার চোদেরা বিএনপির বিরুদ্ধতা করো শেখ মুজিব তো যুদ্ধ ঘোষনা দিয়ে দেশ ছেড়ে পাকিস্তানের কাছে আশ্রয় নিয়েছিলো আর জিয়াউর রহমান সেদিন যুদ্বের প্রস্তুতি না নিলে কখনোই এই দেশ সাদিনতার মুখ দেখতো না আজ যারা কুত্তালীগ করে আর বড় বড় কথা বলে তারা আসলে জারজ সন্তান কুত্তার বাচ্চার চাইতেও খারাপ কেননা তারা সত্যে সিকার করতে নারাজ এরা আসলে মাদার চোদ,HOF
84,বালের আইন চাকরি থেকে বরখাস্ত করলে ঠিক আছে তাহলে এসব অপরাধ কম হবে।,NOT
85,আমি মো জুয়েল রানা আমার জেলা বরিশাল থানা মুলাদি আমি একটা সুন্দর মনের মানুষ চাই,NOT
86,মানুষের হাতে দুই চার পইসা চলে আসলেই এই রকমেই হই,NOT
87,কাওয়া কাওয়া !!!,NOT
88,না ঠিক আছে পতিতার দোষ নাই দোষ হইলো ভিডিও কে করছে যারা এসব পতিতার সাপোট করে তাদের নিউস করে তারাও পতিতার দালাল,NOT
89,পাগল পাগল থাকে,NOT
90,মিসা লুচ্চারে পাইলে একটা জুতা দিয়ে পিটিয়ে দিতাম,HOF
91,অামরা এসব চাই না অামরা চাই দালালমুক্ত বিঅারটিএ,NOT
92,বদের বাচ্চা এসব বন্ধ কর,HOF
93,ধন্যবাদ মাননীয় প্রধানমন্ত্রী কে অপরাদী কে শাস্তি দিবার জন্য তবে আমার খোব কষ্ট আসছে ছোট একটা বাচ্চা তার মাকে ফাসি দিলে এই বাচ্চাটাকেও ফাসি দেওয়া হয় এইটা একটু কষ্ট লাগলো বাচ্চাটার জন্য,NOT
94,আওয়ামিকুতা এরা,NOT
95,সমস্যা নাই কারন আওয়ামীলীগের সরকারতো তোমাদের কিছু হবে না।তোমরা আরো পতিতার সম্মান পাবা দুজন।সরাসরি ভিডিও দেখা যাচ্ছে তারপর বলছে এগুলো মিথ্যা ।যে করছে তার শাস্তি দাবি করো।তোমার জয় হবে কারণ পুলিশ সরকার সব এখন অন্যায়ের বন্ধু,NOT
96,আপনার মত লোক এখনো বেঁচে আছে বলে দেশ বিনোদনের অভাবে পড়েনি এভাবেই বিনোদন দিয়ে পাশে থাকবেন! 🐸,NOT
97,মামা ক্রিকেটের হোগামারা সারা,HOF
98,মি. জাফর দালাল,NOT
99,সব গুলো ফালতু আর নোংরা শুয়ের বাচ্চা আর মেয়ে গুলো বালের,HOF
100,হা হা হা হা এটা হাস্যকার 😂🤣🤣 খালেদা চোর পাকিস্তানি জারজ ওবায়দুল কাদের পার কাছে যেতে পারবেনা খালেদা,HOF
101,সানাই ফেইল করবে এর সামনে,NOT
102,সালারে আগে সবার সামনে কিছু উত্তম মাধ্যম দিয়ে তারপরে আইনের কাছে দেয়া উচিত ছিল ঐ বাবার গু খাওয়ানো ও উচিত ছিল,HOF
103,মাগিটাকে রাস্তায় নামানো হোক মানি সুযোগ আমিও একটা পাইতাম আরকি আমার মত হাজার হাজার ছেলে গোলা একটু খুশিতে ঢেলে দিত,HOF
104,বাংলাদেশ পুরো ক্রিকেট টিম মাগীবাজ...,HOF
105,মাদারচোদেরা সবগুলো দালাল,HOF
106,বঙ্গ বিডি কে অনুরোধ জানাবো যে সালমান শাহ শাবনূর অভিনীত তোমাকে চাই ছবিটি আপলোড করার জন্য ধন্যবাদ,NOT
107,খেয়ে দেয়ে কোন কাজ নাই আই কাজ করবা আমার সাথে শালা ভন্ড পীর,NOT
108,"শালা বাংলাদেশি মাদারচুদ
",HOF
109,সাহসী ভিডিও!!!,NOT
110,যখন খালি যোগাযোগ মন্রি ছিলেন তখন ওবায়দুল কাদের কে আমিও অনেক ভালোবাস তাম তার কাজ দেখা বর্তমানে সে লাগামহিন কথা বলে তাই থু থু মারি হারাম জাদাকে।,HOF
111,এরা সব জারজ,HOF
112,ওরা সব অমানুষ এর দল এত মানুষ থাকতে একটা ছেলেকে কুপিয়ে মারছে কেউ বাছাই না হাইরে মানুষ এটাই কি মানবতা??😢😢😢,NOT
113,সব শালা আবালচোদা লোক অভিনয় করতে পারে না আবার নাটক চুদাও হালার পুতেরা বাস্তবের সাথে সেই রকম কোন মিল নেই শালার পুতেরা টাকা দামের খানকি আইনা মিন্নির উপর সব দোষ চাপাইতাছোছ আবালের দল।,HOF
114,ইনু তোমার গিতাপাটের দিন শেষ এখন পিঠে ছালা বন্দ। পাগলা কা কা করে লাভনাই।,NOT
115,এমন নাটক হওয়া উচিত যা সমাজের জন্য উপকারী ।,NOT
116,সানাই সানাই ওরে কুত্তা দিয়ে আর বললাম না,HOF
117,ওবায়দুল কাদের ও আউট হবে আওয়ামী লীগের সাধারণ সম্পাদক থেকে নিশ্চিত,NOT
118,এই চুর বাটপার আর মাগিবাজরা যদি সাধারণ মানুষদের মতো হালালভাবে কাজ করে খেতো তাইলে বুঝতো দুনিয়া কেমন আর কষ্ট কাকে বলে । মানূষের সেবার কথা বলে তাদের রক্ত চুষছে ।,HOF
119,সব রেন্ডিয়ার মালুদের দালাল,HOF
120,মাগি তোরে কিছু করেনায় চোদ ছে,HOF
121,পাগল বলে নায়ক,HOF
122,ভন্ডদের কারনে আল্লাওয়ালাদের গালীদেয়। চরমনায়কে গালিদেয়।,NOT
123,"Yes sir.u r absolutely right.its da time to do so. Amader noya projonmer supto buddijibider amra hotta korte debo na ..kokkhono na.Bangladesh amar desh, Sabash Bangladesh",NOT
124,আওয়ামী লীগতো ভোট চোর তাই ওবায়দুল কাদের মুখে সুনি আওয়ামী লীগ চারা আর কোন দলে জিতে পারে না এই কথা বলতে পার শুধু ভোট চোরেরা,NOT
125,ওমানুষ ওকে কঠিন শাস্তি দেয়া উচিত,NOT
126,আপনার লেখাটি পড়লাম। নতুনরা কোথা থেকে শক্তি পেয়েছে? আপনাদের কাছ থেকে স্যার। Keep on writing sir. Never stop. নতুনদের আরো শক্তি দরকার।,NOT
127,মিন্নি একটা কাল সাঁপ বেসস্যা মাগী তার ফাঁসি চাই ফাঁসি চাই,HOF
128,এই নডির পূলা ইউটূব অলা তূই উলিপূরিরে ভনড ভলছছ কেশালা কলদে,HOF
129,ভাই অপনার সাথে মিনিট কথা বলতে চাই,NOT
130,দূই জন পতিতা মাগী নাম্বার এক কারন মা আগে করছে পতিতা মজা টিভি খানকি পুত শালা,HOF
131,যেখানে যায় হয় মেয়েদের বালপাক্নামি দেখলেই শরীর জলে!,HOF
132,বরাবরই বাঁশ ঢুকাই দিলেন ভাই,NOT
133,মিন্নির মাগীর ফাসি চাই।,HOF
134,ভিখারি ভিখারী হয় চাচার লজ্জা হয় আমি লাইক দিয়ে অনেক ভুল করেছি,HOF
135,খুনিদের বিচার চাই,NOT
136,"আমরা জানি জাফর ইকবাল সাহেবের কোন ফেসবুক আইডি নাই, উনি নিজে বলেছেন।  এইডা কোত্তে???",NOT
137,তোর মাসের ভোঁদা পাবে শালী,HOF
138,বিশ্ব পতিতা কে বিয়ে করলো রাঙা মস্তান জাপা নেটা,HOF
139,শালা সমাজে মুখ দেখাবে কিকরে ওকে গলায় দড়ি দিতেই হবে,HOF
140,আপনি মূর্খতা করেছেন মিজানুর রহমান কে গালিগালাজ করে ।নিজের অবস্থান খেয়াল করুন ।,NOT
141,বলদেরা কি সব প্রশ্ন করে কই ওবাইদুল,NOT
142,পাপান তো কুত্তার বাচ্চা,HOF
143,কিছু কুকুরের বাচ্চা আছে এই ভিডিওর পক্ষ নিয়া কথা বলতেছে তাদেরকে অনুরোধ করা যাইতেছে পারলে আপনাদের জুতা মার্কা চেহারার একটা ছবি দিবেন আর সাথে ঠিকানা তাহলে সরা সরি গিয়েই কথা বলতে চায় হারামজাদারা এক কুকুর এর বাচ্চা বলছে আল্লাও নাকি ঠিক মতে চলেনা তার নাম দেখতে চাইলে আমার কমেন্ট গুলো দোখেন সালা মাদারি কি লিখছে এরে বলতেছি পারলে ঠিকানা দে তুরে বুঝাই দুধ কি ভাবে খারা করা যায় মাগির পু,HOF
144,সত্যর বিজয় হয় একদিন,NOT
145,হিন্দু মহিলা কে জুতো মালা দিয়ে স্টিজ থেকে বের করে দাও,HOF
146,অসাধারণ কথা বলেছেন,NOT
147,চোদন বেশি পড়েগেছে।,HOF
148,কাদের ত কাক!কালো কাক ইদুরের চেয়ে নিকৃষ্ট!!,NOT
149,খানকির পোলার গোয়া দিয়া গরম ডিম ঢুকায়দে সবাই।,HOF
150,সব আবাল চোদা শ্রোতা,HOF
151,হোগা মাইরা দেশ চালায়,HOF
152,আমরা যদি এই বার ক্ষমাতা আসি হাছিনা মাগিকে চুদব,HOF
153,শু বক্তা কিয়ামতে আলামত,NOT
154,এটাও কি বিএনপি জামাত দায়ি ? ষরযনএ কেন বলা হচ্ছে,NOT
155,"পরম শ্রদ্ধেয় স্যার,  একটা বিষয় বাদে আপনার সব বক্তব্যেই একমত, সেটি হল শহীদুল আলমকে গ্রেফতার করা নিয়ে। দেশের মানুষ এরকমভাবেই সোস্যাল মিডিয়া আর ফেইক নিউজে বিচরণ করতেছে যে একটা প্রতিযোগিতা চলছে, কে কার থেকে কত সুন্দরভাবে রোমহরষক কিছু লেখতে পারবে বলতে পারবে। এটা আইন দিয়ে, পুলিশ দিয়ে কোনভাবেই নিয়ন্ত্রণ করা সম্ভব না। একটা প্রায় পুরোটা শিক্ষিত বোকা জনগোষ্টী আমরা। আবেগ দিয়েই আমাদের নিয়ন্ত্রণ করা যায়,  সেটা সত্য মিথা যাচাই করার সুযোগ পাইনা সময় পাইনা, আরেকটা প্রতিযোগিতা চলে, কে কার আগে আবেগকে কত শৈল্পিকভাবে রঙ তুলি দিয়ে, নিজের সর্বোচ্চ মেধা দিয়ে বিশ্বাসযোগ্য এবং অন্যরকম উপস্থাপনা করতে পারে, যা আর কেউ করতে পারবেনা। এখানে নিয়ন্ত্রণের একমাত্র পথ কঠোর শাসনে রাখা। স্যার আপনি জানেন না, আমরা এমন মেধাবী যে কোন আইন ভাংার আগে সেটা নিয়ে প্রচুর গবেষণা করি!  অপরাধ করার আগে অপরাধী জেনে নেয় ধরা পরলে তার কি শাস্তি হতে পারে আর সেই শাস্তি থেকে বাঁচার কি কি বৈধ অবৈধ রাস্তা আছে। কি কি প্রমাণ থাকলে কত কঠিন শাস্তি হবে সেটা জানে এরা এবং সেসব প্রমাণ না রেখে অপরাধ করে, অথবা অপরাধ করার পরপরই প্রমাণ ধ্বংস করে দেয়।  আপনি আশ্চর্য হবেন জেনে স্যার, সেই প্রমাণ হিসেবে যদি একটা মানুষ হয় তাহলে তারা সেই মানুষটাকেও ধ্বংস করে দেয়।  এত বিচার বিশ্লেষণ করে এবং নিবিড় অধ্যাবসায় নিয়ে এরা প্রত্যেকের যায়গা থেকে একেকটা মহা হয়ে যাচ্ছে,  আমাদের পুলিশ বা রাষ্ট্রীয় যেকোন বাহিনী একটা নতুন প্রযুক্তির সাথে আপডেট হবার আগেই সেটা দিয়ে এদেশের অপরাধীরা অনেক বড় বড় অপরাধ করে প্রমাণের অভাবে গায়ে হাওয়া লাগিয়ে রাজার মত চলছে। শহীদুল আলম এর অপরাধটা এক্ষেত্রে আমি ব্যক্তিগতভাবে নেয়ার পক্ষপাতী না,  ব্যক্তি শহীদুল আলম কি করেছে?  শুধু এই প্রশ্নটাতে সীমাবদ্ধ থাকার পক্ষে আমি না। তার এই এতটুকু ভুল বা অপরাধ জাতির জন্য কতখানি ক্ষতি হয়েছে এদিকদিয়ে বিবেচনার পক্ষপাতী আমি। এই বাচ্চাদের আন্দোলনে যারাই এমন কিছু অপরাধ করেছে,  উষ্কানিমূলক,  বিভ্রান্তিকর কিছু বলেছে - করেছে বা প্রচার করেছে নিজের মূল্যবান মেধা দিয়ে শৈপ্লিক উপস্থাপনায় তাদের সবার এইসব ছোট ছোট অন্যায়ের কারনে এবং তার প্রভাবে ছাত্রদের এই অনিরাপদ সড়ক সংশ্লিষদের বিরুদ্ধে আন্দোলনটা,  ছাত্র বনাম সরকারের বিরুদ্ধে যাচ্ছিল কিভাবে স্যার?   যে যত বড় সেলিব্রেটি তার অপরাধ তত বেশি কারন তার ভুল তথ্যটাই বেশি ছড়ায়। মানুষ বিশ্বাস করে।  তার ভুল তথ্যের জন্য মানুষের ক্ষতি হয় বেশি। এখন মাদকবিরোধী যুদ্ধে যদি একদম শেষ লেবেলের খুচরা মাধ্যমকে দমন করে আর এ ব্যবসার ব্রাদার ফাদার গডফাদার রেখে দেয়া হয় তাহলে ত কয়েক মিনিট পর থেকেই আবার চলতে থাকবে। তেমনি শহীদুল আলমকে গ্রেফতার করায় তার মত বা তার চেয়ে নিচু মানের গুজবগুলা বা অপপ্রচারকারীরা চুপসে গেছে।   আপনি স্যার একজন অসাধারন মানুষ। রাজাকার শব্দটা বলার সময় আপনি এমন ভাবে ঘৃণা প্রকাশ করতে পারেন যে আমি আরো প্রেরণা পাই।  স্যার অনেকদিন ধরে আপনার সাথে কোনভাবেই কোনকিছুতেই দ্বিমত হতে পারছিলাম না,  ব্যাপারটা ভাল না। আবার আপনিও দেখছি সরকারের সাথে প্রায় দ্বিমত হতে পারছিলেন না।  আমি বিশ্বাস করি স্যার,  অনেকদিন কোন বিষয়ে একমত না হওয়া মানে কেউ একজন অপরজনের কাছে মরে গেছে, তার নিজস্বতা নাই,  হোক ঠিক হোক বেঠিক অন্তত কিছুটা অমিল থাকার দরকার।  আপনার জন্য অনেক শুভকামনা স্যার।  আপনি ভাল থাকলে আমাদেরও ভাল লাগে।  শুধু শ্রদ্ধাই করি না,  ভালওবাসি আপনাকে।",NOT
156,তাসকিনকে কেনো খেলানো হচ্ছে না?,NOT
157,সালা মাদারচুদ ইউটুবার,HOF
158,ওর চাকরি থেকে বরখাস তো করা উচিত,NOT
159,পাপ ছারেনা বাপ রেও,NOT
160,"মাগির পোলারে দেকতে কেমন লাগে গরু চোর 
",HOF
161,জাফর ইকবাল  একটা মাদারচোদ,HOF
162,কোন যোগ্যতায় রবি কুমিল্লার দলে খেলে। তাও আবার ওপেনিং। আজকে কুমিল্লা হারার মূল কারণ রবি আর সাব্বির। এদের ধীর ব্যাটিং এর কারণে কুমিল্লা হারছে। কোন মাদারচুদে এদেরকে দলে নেয়।,HOF
163,মোদির গদি চিরস্থায়ী নয় বাবরি মসজিদ পাঁচশত বছরের পুরানো মুসলিমদের সংস্কৃতি,NOT
164,সালা মাদার চোদ,HOF
165,মিথ্যাচার চাটুকারিতা নিন্দা ছাড়া দেশ ও দশের উন্নয়নের কোন কথা তার মুখে শুনলাম না!!,NOT
166,বাংলাদেশের সানিলিওন,NOT
167,তুই হালা চোর তোরে চাটাই করতে হবে,HOF
168,আমার হাতে একটা বেত থাকলে ওদের সবার পাছায় ক্রস ক্রস করে কয়েকটা মারতাম! যেমনে ওরা পোলা পাইনের পাছা চেক করে!,HOF
169,তুর মাকে কত মানুসকে দিয়ে চুদাভি মাগির পুলা,HOF
170,তাসকিন একটা পাগল ওই দুইটাও পাগল।,HOF
171,পরিচালক কে পিটাইতে ইচ্ছা করলো নাটক দেখার পর ... বলদ পরিচালক,NOT
172,এই মাদার চোদেরে জুতা দিয়ে পিটাইয়া গাল ফাটাইয়া ফেল,HOF
173,কে করবে কত্তালীগের বিচার,HOF
174,সাকিব আল হাসান ঠিক আছে ঐ পাপন মাদাররির পুত কে বহিষ্কার করতে হবে,HOF
175,"চেতনার #মাদারচোদ,, এইবার তুই কোথায় ছিলি?,  ১৬ কোটি মানুষের সাংবিধানিক অধিকার কেড়ে নিলো তাও টু শব্দটা ও করলি না।। তোদের জুতা দিয়ে মারতে মন চায়।",HOF
176,"দশ হাজার টাকাআবারমেশিন ,,,, 🤔🤔🤔🤔🤔🤔🤔",NOT
177,"সাব্বির খেলা পারে না শলা হারামজাদা
",HOF
178,সাকিবের সাযা যাতে কমানো যায় সেদিকে খেয়াল রাখা উচিত।,NOT
